bay_id,st_marker_id,status,location,lat,lon
25,10890,Unoccupied,"-37.805494363984664, 144.9502518374327",-37.80549436398466,144.9502518374327
26,10899,Unoccupied,"-37.80552193688354, 144.95049677211705",-37.80552193688354,144.95049677211705
27,10900,Present,"-37.80539150878798, 144.95012894186425",-37.80539150878798,144.95012894186425
28,10906,Unoccupied,"-37.8055238413645, 144.95010716973724",-37.8055238413645,144.95010716973724
29,11178,Unoccupied,"-37.8032383292323, 144.9482042374083",-37.8032383292323,144.9482042374083
30,11179,Unoccupied,"-37.80329463675929, 144.94819413029722",-37.80329463675929,144.94819413029722
31,11477,Unoccupied,"-37.80310577201911, 144.95023223730664",-37.80310577201911,144.95023223730664
32,11478,Unoccupied,"-37.80310926360784, 144.95026335129603",-37.80310926360784,144.95026335129603
33,11480,Unoccupied,"-37.80312643181887, 144.95041638830074",-37.80312643181887,144.95041638830074
34,11484,Unoccupied,"-37.80313979406547, 144.95053760258838",-37.80313979406547,144.95053760258838
35,11485,Unoccupied,"-37.80314332178986, 144.9505702824386",-37.80314332178986,144.9505702824386
36,11488,Unoccupied,"-37.803157577857576, 144.95069957502182",-37.803157577857576,144.95069957502182
37,11795,Present,"-37.800484383663054, 144.9557617958697",-37.800484383663054,144.9557617958697
38,11878,Present,"-37.80082886851308, 144.95619182890198",-37.80082886851308,144.95619182890198
